"id","code","description"
"work_00","00","Ninguna informacion"
"work_01","10","Tareas de produccion, transformacion, almacenamiento – sin especificar"
"work_02","11","Produccion, transformacion, tratamiento – de todo tipo"
"work_03","12","Almacenamiento – de todo tipo"

