"id","code","description","parent_id:id"
"cnae_C101","C101","Procesado y conservación de carne y elaboración de productos cárnicos","cnae_C10"
"cnae_C1011","C1011","Procesado y conservación de carne","cnae_C101"
"cnae_C1012","C1012","Procesado y conservación de volatería","cnae_C101"
"cnae_C1013","C1013","Elaboración de productos cárnicos y de volatería","cnae_C101"
"cnae_C102","C102","Procesado y conservación de pescados, crustáceos y moluscos","cnae_C10"
"cnae_C1021","C1021","Procesado de pescados, crustáceos y moluscos","cnae_C102"
"cnae_C1022","C1022","Fabricación de conservas de pescado","cnae_C102"
"cnae_C103","C103","Procesado y conservación de frutas y hortalizas","cnae_C10"
"cnae_C1031","C1031","Procesado y conservación de patatas","cnae_C103"
"cnae_C1032","C1032","Elaboración de zumos de frutas y hortalizas","cnae_C103"
"cnae_C1039","C1039","Otro procesado y conservación de frutas y hortalizas","cnae_C103"
"cnae_C104","C104","Fabricación de aceites y grasas vegetales y animales","cnae_C10"
"cnae_C1042","C1042","Fabricación de margarina y grasas comestibles similares","cnae_C104"
"cnae_C1043","C1043","Fabricación de aceite de oliva","cnae_C104"
"cnae_C1044","C1044","Fabricación de otros aceites y grasas","cnae_C104"
"cnae_C105","C105","Fabricación de productos lácteos","cnae_C10"
"cnae_C1052","C1052","Elaboración de helados","cnae_C105"
"cnae_C1053","C1053","Fabricación de quesos","cnae_C105"
"cnae_C1054","C1054","Preparación de leche y otros productos lácteos","cnae_C105"
"cnae_C106","C106","Fabricación de productos de molinería, almidones y productos amiláceos","cnae_C10"
"cnae_C1061","C1061","Fabricación de productos de molinería","cnae_C106"
"cnae_C1062","C1062","Fabricación de almidones y productos amiláceos","cnae_C106"
"cnae_C107","C107","Fabricación de productos de panadería y pastas alimenticias","cnae_C10"
"cnae_C1071","C1071","Fabricación de pan y de productos frescos de panadería y pastelería","cnae_C107"
"cnae_C1072","C1072","Fabricación de galletas y productos de panadería y pastelería de larga duración","cnae_C107"
"cnae_C1073","C1073","Fabricación de pastas alimenticias, cuscús y productos similares","cnae_C107"
"cnae_C108","C108","Fabricación de otros productos alimenticios","cnae_C10"
"cnae_C1081","C1081","Fabricación de azúcar","cnae_C108"
"cnae_C1082","C1082","Fabricación de cacao, chocolate y productos de confitería","cnae_C108"
"cnae_C1083","C1083","Elaboración de café, té e infusiones","cnae_C108"
"cnae_C1084","C1084","Elaboración de especias, salsas y condimentos","cnae_C108"
"cnae_C1085","C1085","Elaboración de platos y comidas preparados","cnae_C108"
"cnae_C1086","C1086","Elaboración de preparados alimenticios homogeneizados y alimentos dietéticos","cnae_C108"
"cnae_C1089","C1089","Elaboración de otros productos alimenticios n.c.o.p.","cnae_C108"
"cnae_C109","C109","Fabricación de productos para la alimentación animal","cnae_C10"
"cnae_C1091","C1091","Fabricación de productos para la alimentación de animales de granja","cnae_C109"
"cnae_C1092","C1092","Fabricación de productos para la alimentación de animales de compañía","cnae_C109"
"cnae_C11","C11","Fabricación de bebidas","cnae_C"
"cnae_C110","C110","Fabricación de bebidas","cnae_C11"
"cnae_C1101","C1101","Destilación, rectificación y mezcla de bebidas alcohólicas","cnae_C110"
"cnae_C1102","C1102","Elaboración de vinos","cnae_C110"
"cnae_C1103","C1103","Elaboración de sidra y otras bebidas fermentadas a partir de frutas","cnae_C110"
"cnae_C1104","C1104","Elaboración de otras bebidas no destiladas, procedentes de la fermentación","cnae_C110"
"cnae_C1105","C1105","Fabricación de cerveza","cnae_C110"
"cnae_C1106","C1106","Fabricación de malta","cnae_C110"
"cnae_C1107","C1107","Fabricación de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas","cnae_C110"
"cnae_C12","C12","Industria del tabaco","cnae_C"
"cnae_C120","C120","Industria del tabaco","cnae_C12"
"cnae_C1200","C1200","Industria del tabaco","cnae_C120"
"cnae_C13","C13","Industria textil","cnae_C"
"cnae_C131","C131","Preparación e hilado de fibras textiles","cnae_C13"
"cnae_C1310","C1310","Preparación e hilado de fibras textiles","cnae_C131"
"cnae_C132","C132","Fabricación de tejidos textiles","cnae_C13"
"cnae_C1320","C1320","Fabricación de tejidos textiles","cnae_C132"
"cnae_C133","C133","Acabado de textiles","cnae_C13"
"cnae_C1330","C1330","Acabado de textiles","cnae_C133"
"cnae_C139","C139","Fabricación de otros productos textiles","cnae_C13"
"cnae_C1391","C1391","Fabricación de tejidos de punto","cnae_C139"
"cnae_C1392","C1392","Fabricación de artículos confeccionados con textiles, excepto prendas de vestir","cnae_C139"
"cnae_C1393","C1393","Fabricación de alfombras y moquetas","cnae_C139"
"cnae_C1394","C1394","Fabricación de cuerdas, cordeles, bramantes y redes","cnae_C139"
"cnae_C1395","C1395","Fabricación de telas no tejidas y artículos confeccionados con ellas, excepto prendas de vestir","cnae_C139"
"cnae_C1396","C1396","Fabricación de otros productos textiles de uso técnico e industrial","cnae_C139"
"cnae_C1399","C1399","Fabricación de otros productos textiles n.c.o.p.","cnae_C139"
"cnae_C14","C14","Confección de prendas de vestir","cnae_C"
"cnae_C141","C141","Confección de prendas de vestir, excepto de peletería","cnae_C14"
"cnae_C1411","C1411","Confección de prendas de vestir de cuero","cnae_C141"
"cnae_C1412","C1412","Confección de ropa de trabajo","cnae_C141"
"cnae_C1413","C1413","Confección de otras prendas de vestir exteriores","cnae_C141"
"cnae_C1414","C1414","Confección de ropa interior","cnae_C141"
"cnae_C1419","C1419","Confección de otras prendas de vestir y accesorios","cnae_C141"
"cnae_C142","C142","Fabricación de artículos de peletería","cnae_C14"
"cnae_C1420","C1420","Fabricación de artículos de peletería","cnae_C142"
"cnae_C143","C143","Confección de prendas de vestir de punto","cnae_C14"
"cnae_C1431","C1431","Confección de calcetería","cnae_C143"
"cnae_C1439","C1439","Confección de otras prendas de vestir de punto","cnae_C143"
"cnae_C15","C15","Industria del cuero y del calzado","cnae_C"
"cnae_C151","C151","Preparación, curtido y acabado del cuero; fabricación de artículos de marroquinería, viaje y de guarnicionería y talabartería; preparación y teñido de pieles","cnae_C15"
"cnae_C1511","C1511","Preparación, curtido y acabado del cuero; preparación y teñido de pieles","cnae_C151"
"cnae_C1512","C1512","Fabricación de artículos de marroquinería, viaje y de guarnicionería y talabartería","cnae_C151"
"cnae_C152","C152","Fabricación de calzado","cnae_C15"
"cnae_C1520","C1520","Fabricación de calzado","cnae_C152"
"cnae_C16","C16","Industria de la madera y del corcho, excepto muebles; cestería y espartería","cnae_C"
"cnae_C161","C161","Aserrado y cepillado de la madera","cnae_C16"
"cnae_C1610","C1610","Aserrado y cepillado de la madera","cnae_C161"
"cnae_C162","C162","Fabricación de productos de madera, corcho, cestería y espartería","cnae_C16"
"cnae_C1621","C1621","Fabricación de chapas y tableros de madera","cnae_C162"
"cnae_C1622","C1622","Fabricación de suelos de madera ensamblados","cnae_C162"
"cnae_C1623","C1623","Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción","cnae_C162"
"cnae_C1624","C1624","Fabricación de envases y embalajes de madera","cnae_C162"
"cnae_C1629","C1629","Fabricación de otros productos de madera; artículos de corcho, cestería y espartería","cnae_C162"
"cnae_C17","C17","Industria del papel","cnae_C"
"cnae_C171","C171","Fabricación de pasta papelera, papel y cartón","cnae_C17"
"cnae_C1711","C1711","Fabricación de pasta papelera","cnae_C171"
"cnae_C1712","C1712","Fabricación de papel y cartón","cnae_C171"
"cnae_C172","C172","Fabricación de artículos de papel y de cartón","cnae_C17"
"cnae_C1721","C1721","Fabricación de papel y cartón ondulados; fabricación de envases y embalajes de papel y cartón","cnae_C172"
"cnae_C1722","C1722","Fabricación de artículos de papel y cartón para uso doméstico, sanitario e higiénico","cnae_C172"
"cnae_C1723","C1723","Fabricación de artículos de papelería","cnae_C172"
"cnae_C1724","C1724","Fabricación de papeles pintados","cnae_C172"
"cnae_C1729","C1729","Fabricación de otros artículos de papel y cartón","cnae_C172"
"cnae_C18","C18","Artes gráficas y reproducción de soportes grabados","cnae_C"
"cnae_C181","C181","Artes gráficas y servicios relacionados con las mismas","cnae_C18"
"cnae_C1811","C1811","Artes gráficas y servicios relacionados con las mismas","cnae_C181"
"cnae_C1812","C1812","Otras actividades de impresión y artes gráficas","cnae_C181"
"cnae_C1813","C1813","Servicios de preimpresión y preparación de soportes","cnae_C181"
"cnae_C1814","C1814","Encuadernación y servicios relacionados con la misma","cnae_C181"
"cnae_C182","C182","Reproducción de soportes grabados","cnae_C18"
"cnae_C1820","C1820","Reproducción de soportes grabados","cnae_C182"
"cnae_C19","C19","Coquerías y refino de petróleo","cnae_C"
"cnae_C191","C191","Coquerías","cnae_C19"
"cnae_C1910","C1910","Coquerías","cnae_C191"
"cnae_C192","C192","Refino de petróleo","cnae_C19"
"cnae_C1920","C1920","Refino de petróleo","cnae_C192"
"cnae_C20","C20","Industria química","cnae_C"
"cnae_C201","C201","Fabricación de productos químicos básicos, compuestos nitrogenados, fertilizantes, plásticos y caucho sintético en formas primarias","cnae_C20"
"cnae_C2011","C2011","Fabricación de gases industriales","cnae_C201"
"cnae_C2012","C2012","Fabricación de colorantes y pigmentos","cnae_C201"
"cnae_C2013","C2013","Fabricación de otros productos básicos de química inorgánica","cnae_C201"
"cnae_C2014","C2014","Fabricación de otros productos básicos de química orgánica","cnae_C201"
"cnae_C2015","C2015","Fabricación de fertilizantes y compuestos nitrogenados","cnae_C201"
"cnae_C2016","C2016","Fabricación de plásticos en formas primarias","cnae_C201"
"cnae_C2017","C2017","Fabricación de caucho sintético en formas primarias","cnae_C201"
"cnae_C202","C202","Fabricación de pesticidas y otros productos agroquímicos","cnae_C20"
"cnae_C2020","C2020","Fabricación de pesticidas y otros productos agroquímicos","cnae_C202"
"cnae_C203","C203","Fabricación de pinturas, barnices y revestimientos similares; tintas de imprenta y masillas","cnae_C20"
"cnae_C2030","C2030","Fabricación de pinturas, barnices y revestimientos similares; tintas de imprenta y masillas","cnae_C203"
"cnae_C204","C204","Fabricación de jabones, detergentes y otros artículos de limpieza y abrillantamiento; fabricación de perfumes y cosméticos","cnae_C20"
"cnae_C2041","C2041","Fabricación de jabones, detergentes y otros artículos de limpieza y abrillantamiento","cnae_C204"
"cnae_C2042","C2042","Fabricación de perfumes y cosméticos","cnae_C204"
"cnae_C205","C205","Fabricación de otros productos químicos","cnae_C20"
"cnae_C2051","C2051","Fabricación de explosivos","cnae_C205"
"cnae_C2052","C2052","Fabricación de colas","cnae_C205"
"cnae_C2053","C2053","Fabricación de aceites esenciales","cnae_C205"
"cnae_C2059","C2059","Fabricación de otros productos químicos n.c.o.p.","cnae_C205"
"cnae_C206","C206","Fabricación de fibras artificiales y sintéticas","cnae_C20"
"cnae_C2060","C2060","Fabricación de fibras artificiales y sintéticas","cnae_C206"
"cnae_C21","C21","Fabricación de productos farmacéuticos","cnae_C"
"cnae_C211","C211","Fabricación de productos farmacéuticos de base","cnae_C21"
"cnae_C2110","C2110","Fabricación de productos farmacéuticos de base","cnae_C211"
"cnae_C212","C212","Fabricación de especialidades farmacéuticas","cnae_C21"
"cnae_C2120","C2120","Fabricación de especialidades farmacéuticas","cnae_C212"
"cnae_C22","C22","Fabricación de productos de caucho y plásticos","cnae_C"
"cnae_C221","C221","Fabricación de productos de caucho","cnae_C22"
"cnae_C2211","C2211","Fabricación de neumáticos y cámaras de caucho; reconstrucción y recauchutado de neumáticos","cnae_C221"
"cnae_C2219","C2219","Fabricación de otros productos de caucho","cnae_C221"
"cnae_C222","C222","Fabricación de productos de plástico","cnae_C22"
"cnae_C2221","C2221","Fabricación de placas, hojas, tubos y perfiles de plástico","cnae_C222"
"cnae_C2222","C2222","Fabricación de envases y embalajes de plástico","cnae_C222"
"cnae_C2223","C2223","Fabricación de productos de plástico para la construcción","cnae_C222"
"cnae_C2229","C2229","Fabricación de otros productos de plástico","cnae_C222"
"cnae_C23","C23","Fabricación de otros productos minerales no metálicos","cnae_C"
"cnae_C231","C231","Fabricación de vidrio y productos de vidrio","cnae_C23"
"cnae_C2311","C2311","Fabricación de vidrio plano","cnae_C231"
"cnae_C2312","C2312","Manipulado y transformación de vidrio plano","cnae_C231"
"cnae_C2313","C2313","Fabricación de vidrio hueco","cnae_C231"
"cnae_C2314","C2314","Fabricación de fibra de vidrio","cnae_C231"
"cnae_C2319","C2319","Fabricación y manipulado de otro vidrio, incluido el vidrio técnico","cnae_C231"
"cnae_C232","C232","Fabricación de productos cerámicos refractarios","cnae_C23"
"cnae_C2320","C2320","Fabricación de productos cerámicos refractarios","cnae_C232"
"cnae_C233","C233","Fabricación de productos cerámicos para la construcción","cnae_C23"
"cnae_C2331","C2331","Fabricación de azulejos y baldosas de cerámica","cnae_C233"
"cnae_C2332","C2332","Fabricación de ladrillos, tejas y productos de tierras cocidas para la construcción","cnae_C233"
"cnae_C234","C234","Fabricación de otros productos cerámicos","cnae_C23"
"cnae_C2341","C2341","Fabricación de artículos cerámicos de uso doméstico y ornamental","cnae_C234"
"cnae_C2342","C2342","Fabricación de aparatos sanitarios cerámicos","cnae_C234"
"cnae_C2343","C2343","Fabricación de aisladores y piezas aislantes de material cerámico","cnae_C234"
"cnae_C2344","C2344","Fabricación de otros productos cerámicos de uso técnico","cnae_C234"
"cnae_C2349","C2349","Fabricación de otros productos cerámicos","cnae_C234"
"cnae_C235","C235","Fabricación de cemento, cal y yeso","cnae_C23"
"cnae_C2351","C2351","Fabricación de cemento","cnae_C235"
"cnae_C2352","C2352","Fabricación de cal y yeso","cnae_C235"
"cnae_C236","C236","Fabricación de elementos de hormigón, cemento y yeso","cnae_C23"
"cnae_C2361","C2361","Fabricación de elementos de hormigón para la construcción","cnae_C236"
"cnae_C2362","C2362","Fabricación de elementos de yeso para la construcción","cnae_C236"
"cnae_C2363","C2363","Fabricación de hormigón fresco","cnae_C236"
"cnae_C2364","C2364","Fabricación de mortero","cnae_C236"
"cnae_C2365","C2365","Fabricación de fibrocemento","cnae_C236"
"cnae_C2369","C2369","Fabricación de otros productos de hormigón, yeso y cemento","cnae_C236"
"cnae_C237","C237","Corte, tallado y acabado de la piedra","cnae_C23"
"cnae_C2370","C2370","Corte, tallado y acabado de la piedra","cnae_C237"
"cnae_C239","C239","Fabricación de productos abrasivos y productos minerales no metálicos n.c.o.p.","cnae_C23"
"cnae_C2391","C2391","Fabricación de productos abrasivos","cnae_C239"
"cnae_C2399","C2399","Fabricación de otros productos minerales no metálicos n.c.o.p.","cnae_C239"
"cnae_C24","C24","Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones","cnae_C"
"cnae_C241","C241","Fabricación de productos básicos de hierro, acero y ferroaleaciones","cnae_C24"
"cnae_C2410","C2410","Fabricación de productos básicos de hierro, acero y ferroaleaciones","cnae_C241"
"cnae_C242","C242","Fabricación de tubos, tuberías, perfiles huecos y sus accesorios, de acero","cnae_C24"
"cnae_C2420","C2420","Fabricación de tubos, tuberías, perfiles huecos y sus accesorios, de acero","cnae_C242"
"cnae_C243","C243","Fabricación de otros productos de primera transformación del acero","cnae_C24"
"cnae_C2431","C2431","Estirado en frío","cnae_C243"
"cnae_C2432","C2432","Laminación en frío","cnae_C243"
"cnae_C2433","C2433","Producción de perfiles en frío por conformación con plegado","cnae_C243"
