"code","name"
"335220027507","TÉCNICO en Instalaciones de Producción de Calor"
"335230027302","TÉCNICO equipos electrónicos de consumo"
"335230027303","TÉCNICO en Instalaciones de Telecomunicaciones"
"335240026601","TÉCNICO laboratorio"
"335240026602","TÉCNICO operaciones de fabricación de productos farmacéuticos"
"335240026604","TÉCNICO operaciones de proceso en planta química"
"335240026606","TÉCNICO en Planta Química"
"335240026607","TÉCNICO en Operaciones de Laboratorio"
"335250021202","TÉCNICO operación, control y mantenimiento de máquinas e instalaciones del buque"
"335250021206","TÉCNICO en Mantenimiento y Control de la Maquinaria de Buques y Embarcaciones"
"335250023201","TÉCNICO carrocería"
"335250023202","TÉCNICO electromecánica de vehículos"
"335250023203","TÉCNICO en Electromecánica de Maquinaria"
"335250023204","TÉCNICO en Electromecánica de Vehículos Automóviles"
"335250027502","TÉCNICO mantenimiento ferroviario"
"335250027505","TÉCNICO en Mantenimiento de Material Rodante Ferroviario"
"335410025102","TÉCNICO pastelería y panadería"
"335410026301","TÉCNICO conservería vegetal, cárnica y de pescado"
"335410026302","TÉCNICO elaboración de aceites y jugos"
"335410026303","TÉCNICO elaboración de productos lácteos"
"335410026304","TÉCNICO elaboración de vinos y otras bebidas"
"335410026305","TÉCNICO matadero y carnicería charcutería"
"335410026306","TÉCNICO molinería e industrias cerealistas"
"335410026307","TÉCNICO panificación y repostería"
"335410026308","TÉCNICO en Panadería, Repostería y Confitería"
"335410026309","TÉCNICO en Aceites de Oliva y Vinos"
"335410026310","TÉCNICO en Elaboración de Productos Alimenticios"
"335420026701","TÉCNICO calzado y marroquinería"
"335420026702","TÉCNICO confección"
"335420026703","TÉCNICO operaciones de ennoblecimiento textil"
"335420026704","TÉCNICO producción de hilatura y tejeduría de calada"
"335420026705","TÉCNICO producción de tejidos de punto"
"335420026706","TÉCNICO en Confección y Moda"
"335420026707","TÉCNICO en Calzado y Complementos de Moda"
"335420026708","TÉCNICO en Fabricación y Ennoblecimiento de Productos Textiles"
"335430026501","TÉCNICO fabricación a medida e instalación de carpintería y mueble"
"335430026502","TÉCNICO fabricación industrial de carpintería y mueble"
"335430026503","TÉCNICO transformación de madera y corcho"
"335430026504","TÉCNICO en Carpintería y Mueble"
"335430026505","TÉCNICO en Instalación y Amueblamiento"
"335430026603","TÉCNICO operaciones de proceso de pasta y papel"
"335430026605","TÉCNICO operaciones de transformación de plásticos y caucho"
"335430026801","TÉCNICO operaciones de fabricación de productos cerámicos"
"335430026802","TÉCNICO operaciones de fabricación de vidrio y transformados"
"335430026803","TÉCNICO en Fabricación de Productos Cerámicos"
"335440021301","TÉCNICO en Piedra Natural"
"335440021302","TÉCNICO en Excavaciones y Sondeos"
"335820024101","TÉCNICO acabados de construcción"
"335820024102","TÉCNICO obras de albañilería"
"335820024103","TÉCNICO obras de hormigón"
"335820024104","TÉCNICO operación y mantenimiento de maquinaria de construcción"
"335820024105","TÉCNICO en Construcción"
"335820024106","TÉCNICO en Obras de Interior, Decoración y Rehabilitación"
"336210021101","TÉCNICO explotaciones agrarias extensivas"
"336210021102","TÉCNICO explotaciones agrícolas intensivas"
"336210021103","TÉCNICO explotaciones ganaderas"
"336210021106","TÉCNICO en Producción Agroecológica"
"336210021107","TÉCNICO en Producción Agropecuaria"
"336220021104","TÉCNICO jardinería"
"336220021108","TÉCNICO en Jardinería y Floristería"
"336230021105","TÉCNICO trabajos forestales y de conservación del medio natural"
"336230021109","TÉCNICO en Aprovechamiento y Conservación del Medio Natural"
"336240021201","TÉCNICO buceo a media profundidad"
"336240021203","TÉCNICO operaciones de cultivo acuícola"
"336240021204","TÉCNICO pesca y transporte marítimo"
"336240021205","TÉCNICO en Cultivos Acuícolas"
"336240021207","TÉCNICO en Operaciones Subacuáticas e Hiperbáricas"
"336240021208","TÉCNICO en Navegación y Pesca de Litoral"
"337230022101","TÉCNICO cuidados auxiliares de enfermería"
"337230022103","TÉCNICO en emergencias sanitarias"
"337230028403","TÉCNICO en atención sociosanitaria"
"337230028404","TÉCNICO en Atención a Personas en Situación de Dependencia"
"337270022102","TÉCNICO farmacia"
"337270022104","TÉCNICO en Farmacia y Parafarmacia"
"337610028402","TÉCNICO jardines de infancia"
"338110025101","TÉCNICO cocina"
"338110025103","TÉCNICO servicios de restaurante y bar"
"338110025104","TÉCNICO en Cocina y Gastronomía"
"338110025105","TÉCNICO en Servicios en Restauración"
"338130028101","TÉCNICO conducción de actividades fisico-deportivas en el medio natural"
"338130028102","TÉCNICO deportivo"
"338130028103","TÉCNICO DEPORTIVO en Deportes de Montaña y Escalada"
"338130028104","TÉCNICO DEPORTIVO en Deportes de Invierno"
"338130028105","TÉCNICO DEPORTIVO en Fútbol"
"338130028106","TÉCNICO DEPORTIVO en Fútbol Sala"
"338130028107","TÉCNICO DEPORTIVO en Atletismo"
"338130028108","TÉCNICO DEPORTIVO en Balonmano"
"338130028109","TÉCNICO DEPORTIVO en Baloncesto"
"338130028110","TÉCNICO DEPORTIVO en Espeleología"
"338130028111","TÉCNICO DEPORTIVO en Buceo Deportivo con Escafandra Autónoma"
"338130028112","TÉCNICO DEPORTIVO en Disciplinas Hípicas de Resistencia, Orientación y Turismo Ecuestre"
"338130028113","TÉCNICO DEPORTIVO en Disciplinas Hípicas de Salto, Doma y Concurso Completo"
"338130028114","TÉCNICO DEPORTIVO en Vela con Aparejo Libre"
"338130028115","TÉCNICO DEPORTIVO en Vela con Aparejo Fijo"
"338130028116","TÉCNICO DEPORTIVO en Judo y Defensa Personal"
"338130028117","TÉCNICO DEPORTIVO en Salvamento y Socorrismo"
"338130028118","TÉCNICO DEPORTIVO en Esgrima"
"338140028401","TÉCNICO hogar"
"338150028301","TÉCNICO caracterización"
"338150028302","TÉCNICO estética personal decorativa"
"338150028303","TÉCNICO peluquería"
"338150028304","TÉCNICO en Estética y Belleza"
"338150028305","TÉCNICO en Peluquería y Cosmética Capilar"
"338400027801","TÉCNICO en Conducción de Vehículos de Transporte por Carretera"
"338610028405","TÉCNICO en Emergencias y Protección Civil"
"338630093101","TITULADO escala básica de cabos y guardias de la guardia civil"
"342120036101","PROFESIONAL música -cualquier especialidad- (grado medio)"
"342120036201","PROFESIONAL danza clásica"
"342120036202","PROFESIONAL danza contemporánea"
"342120036203","PROFESIONAL danza española"
"511430028402","TÉCNICO SUPERIOR educación infantil"
"512110031201","TÉCNICO SUPERIOR DE ARTES PLÁSTICAS Y DISEÑO artes aplicadas de la escultura"
"512130026101","TÉCNICO SUPERIOR diseño y producción editorial"
"512130026102","TÉCNICO SUPERIOR producción en industrias de artes gráficas"
"512130026103","TÉCNICO SUPERIOR en Diseño y Gestión de la Producción Gráfica"
"512130026104","TÉCNICO SUPERIOR en Diseño y Edición de Publicaciones Impresas y Multimedia"
"512130027201","TÉCNICO SUPERIOR imagen"
"512130027202","TÉCNICO SUPERIOR producción de audiovisuales, radio y espectáculos"
"512130027203","TÉCNICO SUPERIOR realización de audiovisuales y espectáculos"
"512130027204","TÉCNICO SUPERIOR sonido"
