"id","code","description"
"ocu_120","2622","Especialistas en administración de política de empresas"
"ocu_121","2623","Especialistas de la Administración Pública"
"ocu_122","2624","Especialistas en políticas y servicios de personal y afines"
"ocu_123","2625","Especialistas en formación de personal"
"ocu_124","2630","Técnicos de empresas y actividades turísticas"
"ocu_125","2640","Profesionales de ventas técnicas y médicas (excepto las TIC)"
"ocu_126","2651","Profesionales de la publicidad y la comercialización"
"ocu_127","2652","Profesionales de relaciones públicas"
"ocu_128","2653","Profesionales de la venta de tecnologías de la información y las comunicaciones"
"ocu_129","2711","Analistas de sistemas"
"ocu_130","2712","Analistas y diseñadores de software"
"ocu_131","2713","Analistas"
"ocu_132","2719","Analistas y diseñadores de software y multimedia no clasificados bajo otros epígrafes"
"ocu_133","2721","Diseñadores y administradores de bases de datos"
"ocu_134","2722","Administradores de sistemas y redes"
"ocu_135","2723","Analistas de redes informáticas"
"ocu_136","2729","Especialistas en bases de datos y en redes informáticas no clasificados bajo otros epígrafes"
"ocu_137","2810","Economistas"
"ocu_138","2821","Sociólogos"
"ocu_139","2822","Filósofos"
"ocu_140","2823","Psicólogos"
"ocu_141","2824","Profesionales del trabajo y la educación social"
"ocu_142","2825","Agentes de igualdad de oportunidades entre mujeres y hombres"
"ocu_143","2830","Sacerdotes de las distintas religiones"
"ocu_144","2911","Archivistas y conservadores de museos"
"ocu_145","2912","Bibliotecarios"
"ocu_146","2921","Escritores"
"ocu_147","2922","Periodistas"
"ocu_148","2923","Filólogos"
"ocu_149","2931","Artistas de artes plásticas y visuales"
"ocu_150","2932","Compositores"
"ocu_151","2933","Coreógrafos y bailarines"
"ocu_152","2934","Directores de cine"
"ocu_153","2935","Actores"
"ocu_154","2936","Locutores de radio"
"ocu_155","2937","Profesionales de espectáculos taurinos"
"ocu_156","2939","Artistas creativos e interpretativos no clasificados bajo otros epígrafes"
"ocu_157","3110","Delineantes y dibujantes técnicos"
"ocu_158","3121","Técnicos en ciencias físicas y químicas"
"ocu_159","3122","Técnicos en construcción"
"ocu_160","3123","Técnicos en electricidad"
"ocu_161","3124","Técnicos en electrónica (excepto electro medicina)"
"ocu_162","3125","Técnicos en electrónica"
"ocu_163","3126","Técnicos en mecánica"
"ocu_164","3127","Técnicos y analistas de laboratorio en química industrial"
"ocu_165","3128","Técnicos en metalurgia y minas"
"ocu_166","3129","Otros técnicos de las ciencias físicas"
"ocu_167","3131","Técnicos en instalaciones de producción de energía"
"ocu_168","3132","Técnicos en instalaciones de tratamiento de residuos"
"ocu_169","3133","Técnicos en control de instalaciones de procesamiento de productos químicos"
"ocu_170","3134","Técnicos de refinerías de petróleo y gas natural"
"ocu_171","3135","Técnicos en control de procesos de producción de metales"
"ocu_172","3139","Técnicos en control de procesos no clasificados bajo otros epígrafes"
"ocu_173","3141","Técnicos en ciencias biológicas (excepto en áreas sanitarias)"
"ocu_174","3142","Técnicos agropecuarios"
"ocu_175","3143","Técnicos forestales y del medio natural"
"ocu_176","3151","Jefes y oficiales de máquinas"
"ocu_177","3152","Capitanes y oficiales de puente"
"ocu_178","3153","Pilotos de aviación y profesionales afines"
"ocu_179","3154","Controladores de tráfico aéreo"
"ocu_180","3155","Técnicos en seguridad aeronáutica"
"ocu_181","3160","Técnicos de control de calidad de las ciencias físicas"
"ocu_182","3201","Supervisores en ingeniería de minas"
"ocu_183","3202","Supervisores de la construcción"
"ocu_184","3203","Supervisores de industrias alimenticias y del tabaco"
"ocu_185","3204","Supervisores de industrias química y farmacéutica"
"ocu_186","3205","Supervisores de industrias de transformación de plásticos"
"ocu_187","3206","Supervisores de industrias de la madera y pastero papeleras"
"ocu_188","3207","Supervisores de la producción en industrias de artes gráficas y en la fabricación de productos de papel"
"ocu_189","3209","Supervisores de otras industrias manufactureras"
"ocu_190","3311","Técnicos en radioterapia"
"ocu_191","3312","Técnicos en imagen para el diagnóstico"
"ocu_192","3313","Técnicos en anatomía patológica y citología"
"ocu_193","3314","Técnicos en laboratorio de diagnóstico clínico"
"ocu_194","3315","Técnicos en ortoprótesis"
"ocu_195","3316","Técnicos en prótesis dentales"
"ocu_196","3317","Técnicos en audioprótesis"
"ocu_197","3321","Técnicos superiores en higiene bucodental"
"ocu_198","3322","Técnicos superiores en documentación sanitaria"
"ocu_199","3323","Técnicos superiores en dietética"
"ocu_200","3324","Técnicos en optometría"
"ocu_201","3325","Ayudantes fisioterapeutas"
"ocu_202","3326","Técnicos en prevención de riesgos laborales y salud ambiental"
"ocu_203","3327","Ayudantes de veterinaria"
"ocu_204","3329","Técnicos de la sanidad no clasificados bajo otros epígrafes"
"ocu_205","3331","Profesionales de la acupuntura"
"ocu_206","3339","Otros profesionales de las terapias alternativas"
"ocu_207","3401","Profesionales de apoyo e intermediarios de cambio"
"ocu_208","3402","Comerciales de préstamos y créditos"
